Kategori;Poz No;Taným;Birim;2025 Birim Fiyat (TL)
ÝÞÇÝLÝK;101001001;Taþcý ustasý;Sa;250.00
ZEMÝN & DUVAR KAPLAMA;101001002;Karo kaplama ustasý;Sa;250.00
ZEMÝN & DUVAR KAPLAMA;101001003;Fayans kaplama ustasý;Sa;250.00
ZEMÝN & DUVAR KAPLAMA;101001004;Seramik kaplama ustasý;Sa;250.00
ZEMÝN & DUVAR KAPLAMA;101001005;Mermer kaplama ustasý;Sa;250.00
ZEMÝN & DUVAR KAPLAMA;101001006;Mermer yonucu ustasý;Sa;250.00
ÝÞÇÝLÝK;101001007;Mozayikci ustasý;Sa;250.00
KAPI & PENCERE;101001008;Doðramacý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001009;Marangoz ustasý;Sa;250.00
ÝÞÇÝLÝK;101001010;Yalýtýmcý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001011;Laðýmcý (Ateþleme ustasý);Sa;250.00
BOYA & ALÇI;101001012;Sývacý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001013;Duvarcý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001014;Kaldýrýmcý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001015;Betoncu ustasý;Sa;250.00
ÝÞÇÝLÝK;101001017;Dülger ustasý;Sa;250.00
ÝÞÇÝLÝK;101001018;Sýcak demirci ustasý;Sa;250.00
ÝÞÇÝLÝK;101001019;Soðuk demirci ustasý;Sa;250.00
BOYA & ALÇI;101001020;Alçý iþleri ustasý;Sa;250.00
ÝÞÇÝLÝK;101001021;Kaynakçý ustasý;Sa;250.00
KAPI & PENCERE;101001022;Camcý ustasý;Sa;250.00
BOYA & ALÇI;101001023;Boyacý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001024;Badanacý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001025;Döþemeci ustasý;Sa;250.00
ÝÞÇÝLÝK;101001026;Tenekeci ustasý;Sa;250.00
ÝÞÇÝLÝK;101001027;Tornacý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001028;Muþambacý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001029;Cilacý ustasý;Sa;250.00
ÝÞÇÝLÝK;101001031;Bakýrcý ustasý;Sa;250.00
KAPI & PENCERE;101001032;Alüminyum ustasý;Sa;250.00
BOYA & ALÇI;101001033;Alçý levha ustasý;Sa;250.00
BOYA & ALÇI;101001034;Alçý blok  ustasý;Sa;250.00
BOYA & ALÇI;101001036;Panel Çatý Kaplamacýsý;Sa;250.00
BOYA & ALÇI;101001038;Alçý levha usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001039;Mozayikçi usta yardýmcýsý;Sa;185.00
BOYA & ALÇI;101001040;Alçý blok usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001041;Marangoz usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001042;Yalýtýmcý usta yardýmcýsý;Sa;185.00
BOYA & ALÇI;101001043;Alçý iþleri usta yardýmcýsý;Sa;185.00
BOYA & ALÇI;101001044;Sývacý usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001045;Duvarcý usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001046;Sýcak demirci usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001047;Soðuk demirci usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001048;Cilacý usta yardýmcýsý;Sa;185.00
SIHHÝ TESÝSAT;101001049;Borucu usta yardýmcýsý;Sa;185.00
SIHHÝ TESÝSAT;101001050;Borucu ustasý;Sa;250.00
ÝÞÇÝLÝK;101001066;Tenekeci usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001069;Birinci sýnýf usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001071;Ýkinci sýnýf usta yardýmcýsý;Sa;185.00
ÝÞÇÝLÝK;101001074;Bahçývan ve fidan ustasý;Sa;220.00
ÝÞÇÝLÝK;101001075;Pist beton kaplama ustasý (Hava meydanlarý inþ.için);Sa;250.00
ÝÞÇÝLÝK;101001081;Elektrik ustasý;Sa;250.00
ÝÞÇÝLÝK;101001082;Tesisat ustasý;Sa;250.00
ÝÞÇÝLÝK;101001084;Tesisat usta yardýmcýsý;Sa;185.00
ZEMÝN & DUVAR KAPLAMA;101001086;Ahþap Kalýpçý (Betonarme);Sa;250.00
BOYA & ALÇI;101001088;Panel Kalýpçý (Betonarme);Sa;250.00
ÝÞÇÝLÝK;101001089;Metal Kalýp Ustasý (Betonarme);Sa;250.00
ÝÞÇÝLÝK;101001090;Kalýp Ýþleri Usta Yardýmcýsý;Sa;185.00
ELEKTRÝK;101201351;Elektronik Duyargalý Yüksek Sýkýþtýrma Özelliðine Sahip Finiþer(Beton yollar için) (Takriben 200-250HP gücünde, 900-1100 ton/saat kapasiteli, 5-10 m3 hazneli);;15500000.00
